"ZIP","ZIP3","EV_perc","BachOrHigher_perc","Median_Household_Income","Zillow_Home_Value_Index","Latino_perc","White_perc","Asian_perc","Black_perc"
94027,"940",14.23,84.7,250001,7397088.91,8.8,68,18.5,1.2
94022,"940",14.08,87.6,250001,4383734.1,5.2,53.7,36.2,0.2
94301,"943",13.73,82,184932,3763337.05,6.2,59.6,24.4,2.5
94028,"940",13.6,85.2,250001,3708911.26,9,79.5,5.9,0
94024,"940",13.43,85.1,250001,3879869.05,6.3,55.6,31.7,0.9
90402,"904",13.27,78.6,139667,4112663.88,12.5,73.9,5.9,0.8
92657,"926",12.95,78.3,181176,3949922.71,6,67,22.7,0.2
90077,"900",12.51,77.8,200625,2893567.91,5.8,77,7.5,1.7
90272,"902",12.33,78.9,212115,3376952.31,5,82.1,7.2,0.4
95070,"950",12.25,80.1,222235,3442554.51,2.9,39.3,52.5,0.1
90094,"900",12.03,83.9,166667,1268247.27,12.1,59.4,17.3,4.3
95030,"950",11.93,79.6,215461,3234472.56,5.5,75.7,16.3,0.2
94708,"947",11.55,86.6,201099,1552077.6,4.5,75.8,10.7,1.9
94539,"945",11.4,74.3,200046,1902980.06,4.5,13.9,75.9,1.5
90067,"900",11.37,65,109704,1348859.66,5.2,71.4,18.7,2.3
91436,"914",11.36,69.6,157898,2172898.21,8.6,80.1,3.9,1.8
94582,"945",11.35,75.9,186367,1677478.95,5.4,27,58.6,3.4
94707,"947",11.21,85.1,182603,1627385.14,5,72.4,12.4,1.1
92618,"926",10.95,69.3,117833,1262961.11,9.9,35.1,48.2,1.5
94306,"943",10.94,81.4,185588,2946768.36,7.7,48.6,36.4,2.2
90049,"900",10.88,80.8,143000,2716187.61,7.9,78.1,7.1,1.3
90210,"902",10.85,64.8,154740,5160554.57,6.2,81.3,5.1,1.9
95120,"951",10.84,73.5,221632,2007526.51,7.6,46,38.9,1.1
90266,"902",10.74,77.9,169586,2857420.44,7.6,71.3,14.7,0.5
94563,"945",10.69,87,250001,1961092.78,6,70.4,14.7,0.6
92617,"926",10.61,83.4,57372,773693.86,22.8,32.1,30.2,5.1
95138,"951",10.6,53.4,172434,1646818.83,24,20.3,47.6,4.2
94957,"949",10.54,83.2,250001,3802986.55,4,86.2,5.8,1.6
92603,"926",10.51,76.8,175012,1731696.47,9.6,47.5,37,0.6
94158,"941",10.4,68.6,161391,1265065.01,15.2,32.4,40.6,4.1
94618,"946",10.4,84.1,172454,1657147.26,9.2,66.6,12.8,3.7
95014,"950",10.24,81,198602,2558524.15,3.1,22.7,69.1,1.1
95135,"951",10.1,65.9,178977,1553671.65,9.7,26.2,57.7,2.2
95032,"950",10.09,72.4,163082,2323508.46,9.2,66.4,18.2,0.9
94043,"940",10.09,69.5,159898,1471024.62,16.7,40.1,33.7,4.3
94025,"940",10.07,71.5,183750,2485795.47,17.8,56.2,16.1,2.7
94920,"949",10.07,79.2,203717,3100980.96,6.1,81.5,7.2,0.2
94611,"946",9.93,75.4,147080,1485463.06,5.4,61.9,16.5,6.7
94705,"947",9.91,78.9,143533,1948639.36,7.2,74.3,9.6,2.9
91108,"911",9.88,80.6,170223,2301228.27,6.9,24.2,66.1,0.3
94065,"940",9.72,80.1,181975,1649190.6,5.7,40.4,44.6,0.3
92067,"920",9.71,71.6,216781,3986838.09,16,72.6,6.4,0
92602,"926",9.71,65.7,123455,1527208.32,20.4,30.9,43.5,0.3
94304,"943",9.69,81.1,152772,2977539.91,12.2,61.4,20,1.6
95391,"953",9.54,45.3,154155,944074.28,14.3,28.8,43.5,6.3
92694,"926",9.49,65.5,165290,1127442.37,11,67,13,1.1
92625,"926",9.3,71.7,167925,3360027.43,8.2,80.3,7.4,0.1
92823,"928",9.3,60.9,143971,1099247.26,16.1,31,48.4,0
94114,"941",9.29,79.2,169459,1672050.31,9.1,66.8,13.6,2.7
94568,"945",9.18,67.6,171168,1230336.89,9.6,28.8,52.3,3.6
94062,"940",9.15,66.2,203000,2409848.54,13.3,71.6,7.9,1.5
92091,"920",9.12,69.5,151458,2984880.78,6,64.5,17.7,0
92130,"921",9.09,79.4,166789,1777635.25,8.1,51.6,33.1,0.6
92620,"926",8.89,69.2,131521,1334307.58,9.3,30.2,54.1,1.1
90290,"902",8.88,67.3,135262,1491091.05,9.7,78.4,4.6,1.7
90274,"902",8.87,76.7,186144,2393416,6.5,62.2,23.3,2.9
91302,"913",8.85,65.9,146521,1867588.21,7.5,74.6,8.7,2.6
90265,"902",8.84,69.1,175607,3332357,12.4,72.7,5.2,1
91011,"910",8.82,73.5,187297,1995786.37,9,54.3,30,1.2
94904,"949",8.8,71.4,143338,2124747.88,10.4,77.9,6.8,0.7
90068,"900",8.68,63.4,90733,1663477.53,11.9,71.3,6.1,5.7
94941,"949",8.67,76.9,183882,1939547.91,6.4,80.9,5.5,1.2
92014,"920",8.65,81.8,178080,2432101.03,6.8,81.5,4.6,1.7
92651,"926",8.59,68.2,138734,2779699.88,8.1,82,3,0.5
91105,"911",8.58,71.1,143892,1502869.91,16.3,55.4,17.1,3.6
94040,"940",8.57,73.7,153275,2382753.31,16.1,41,36.1,1.2
94506,"945",8.49,73.5,223362,1949979.28,6.4,56,28.6,3.4
94131,"941",8.48,78.6,181329,1483157.03,11.8,54.9,21.4,4.1
92127,"921",8.42,73.6,156464,1390256.91,7.7,49.8,31.5,1.3
94129,"941",8.4,85.4,218717,1903805.12,20.3,57.3,7.5,1.8
95113,"951",8.4,68.1,124625,756448.31,20.8,30.6,39.9,5.9
94555,"945",8.34,65.3,177333,1352919.91,5.8,13.7,74,1.5
94087,"940",8.33,73.7,178128,2338870.09,8.2,33.6,51.4,1.2
94549,"945",8.28,73.5,190250,1909387.5,7.6,74.9,10.2,0.4
94070,"940",8.23,68,205912,2156217.7,9.3,63.4,18.1,0.7
95033,"950",8.21,67.1,161971,1381887.42,5.4,82.7,5.9,0
91604,"916",8.2,66.5,124271,1593906.64,11.3,70.7,7.7,3.7
90024,"900",8.18,72.9,67422,1312969.89,13.7,49.6,25.8,3.7
94107,"941",8.13,76.1,164289,994409.78,11,50.3,27.7,4.1
94041,"940",8.11,74.6,160328,2009119.3,25,43.2,23.8,3.1
90254,"902",8.09,77.9,144388,2088823.34,12.4,71.8,7.5,0.5
94010,"940",8.08,69.3,172009,3081573.42,11.2,53.1,28.7,1.2
92782,"927",8.06,67.2,123909,1084941.82,17.7,34.9,42.1,1.1
94305,"943",7.95,93.7,67224,2870212.14,16.5,48.8,23.8,3.4
94937,"949",7.92,54.9,78077,1367372.61,13,80.3,0,0
90291,"902",7.91,69.7,105871,1897042.64,17.8,66.4,4.2,5.9
90292,"902",7.86,72.4,137813,1229536.75,9.7,66.7,9.8,6.6
90064,"900",7.8,69.8,109357,1744978.54,14.4,55.9,20.4,2.3
90069,"900",7.8,68.8,98440,1208949.52,8.4,76.3,7.2,2.8
90405,"904",7.74,68.6,97010,1756470.43,15.3,65.8,7.3,3.1
94002,"940",7.65,69,175694,2043331.95,12.2,49.1,29.8,1.1
95134,"951",7.62,76.6,166828,1034697.74,13,20.5,59.7,2.1
90013,"900",7.62,37,22291,634129.4,21.7,28.5,14.3,27.6
94538,"945",7.61,52.7,130947,1159563.11,18.4,17,55.8,3.3
93108,"931",7.52,75.3,192303,4246368.38,8.5,81.5,4,0.6
90212,"902",7.52,67.9,91663,2261239.45,7.6,73.1,11.6,2
92660,"926",7.44,70.8,142500,2512905.36,8.8,77.4,8.2,1
90275,"902",7.43,68.5,158952,1719187.43,10.4,49.3,30.9,1.7
91381,"913",7.41,56.7,144476,1020242.67,20.4,41.3,24.6,5.2
91326,"913",7.34,56.5,130322,1123946.52,14.6,42.1,30.9,8.1
92037,"920",7.34,75.1,125636,1984207,11.5,71.5,10.9,1.2
94960,"949",7.33,73,156169,1574019.92,7,81.5,4.6,1.3
95054,"950",7.33,65.9,171799,1353642.48,13.3,20,56.9,5.1
94925,"949",7.3,74.1,183661,1713269.27,7.6,74.7,5.5,2
94507,"945",7.29,76.1,250001,2360618.55,6,79.5,10.6,0.7
95129,"951",7.25,72.1,163245,2153094.67,6.3,21.3,66.1,2.3
91403,"914",7.25,67.7,104499,1354267.33,14.4,67,7.8,5.1
94566,"945",7.23,66.7,172403,1613800.26,10.6,49.2,34.2,1.4
94556,"945",7.22,77.1,167500,1671308,7.2,64.5,21,0.4
94127,"941",7.22,65.6,180768,1762364.5,10.4,50.4,26.3,3.2
92679,"926",7.2,62.1,197951,1322716.38,13.9,70.6,9.1,1.5
95814,"958",7.18,38.2,39612,624923.59,21.9,46.5,10.1,14.2
94939,"949",7.06,78.2,150179,2094587.64,5.4,78.6,5.6,0
90403,"904",7.05,71.7,113204,1418159.41,10.9,70.3,9.5,2.8
94404,"944",7.04,70.3,166203,1601366.55,8.4,32.2,50.8,2.5
94610,"946",7.02,73,117530,1291261.49,11.6,51.1,16.2,13.9
90401,"904",6.99,71,90682,1104992.09,7,72.6,6.4,6.9
92861,"928",6.87,53.6,172375,1924794.35,15.9,67.3,14.1,0.4
92610,"926",6.85,64.5,155101,1037141.38,11.8,48.7,31.7,0.3
90046,"900",6.82,62.3,77162,1475020.25,15.2,66.9,6.5,5.5
95124,"951",6.81,58.9,165344,1611265.73,16.4,49.5,26.3,1.9
94552,"945",6.81,55.9,183578,1364340.99,12.8,34.6,42.3,5.4
94402,"944",6.77,68,170688,2138419.7,13.6,55.2,22.6,1.6
90048,"900",6.77,67.9,102567,1793059.91,7.7,76.5,7.1,3.8
95125,"951",6.68,55.9,128452,1614082.19,26.6,50.7,15,2.2
92612,"926",6.67,67.1,76648,946785.89,11.8,45.2,35.1,2.7
91361,"913",6.67,62.5,122305,1378858.76,9.7,76.1,7.9,1.4
94965,"949",6.64,67.1,125070,1369099.81,9.7,71.3,7.5,7.2
92673,"926",6.64,57.7,159244,1447537.01,14.6,73.2,6.6,2
94502,"945",6.62,69.5,190174,1213650.16,8.3,39,41.7,3.1
90211,"902",6.61,60.3,89946,2204706.24,11.1,61.7,19.9,1.9
94105,"941",6.61,84,244662,1059330.07,6.3,37.4,51.3,1.4
90232,"902",6.57,62,105932,1670978.27,18.4,50.3,20.5,5
91423,"914",6.48,62.4,97727,1348665.5,13.3,70,6.1,3.8
90014,"900",6.47,42.4,31332,544159.82,25.2,29.6,21.5,19.4
94706,"947",6.47,73.7,115712,1152103.55,13.1,44.3,28.2,4.2
94117,"941",6.47,76.9,174419,1480127.41,10,66.4,11.9,5.2
91030,"910",6.39,70.9,115088,1506534.59,19.6,38.5,32.6,3.7
92075,"920",6.37,68.5,111500,1898422.4,18,67.8,6,1
90278,"902",6.37,61.6,132479,1290509.22,16.3,55,17.9,2.5
91377,"913",6.34,60.4,143153,1046118.02,8.5,69.1,17.7,0.9
90025,"900",6.33,71,100453,1075126.83,13.3,54.1,23.4,3.4
91354,"913",6.32,54,136229,800658.39,19.6,51.9,17.4,4.7
91364,"913",6.31,55.7,116443,1239113.02,13.5,65,9.3,6.7
94037,"940",6.29,57.8,165722,1460889.28,7.7,86.7,0.7,0
90293,"902",6.28,72,110884,887103.11,16.4,64.5,10.1,4.2
94973,"949",6.28,59.6,125579,1004789.1,1.4,86,0,0
92606,"926",6.27,67,124586,1157704.81,8.6,33.3,46.4,1.9
94086,"940",6.2,70.5,162017,1684465.2,16.8,29.7,46.9,1.1
91301,"913",6.19,64.1,142177,1122028.5,14.2,73.4,6.4,1.3
92131,"921",6.18,68.8,153058,1279597.63,12.3,50.6,28.3,1.9
92009,"920",6.17,63,149820,1374434.64,13.4,72.1,8.9,1
92663,"926",6.16,59.5,118718,2229042.44,14.2,79.3,3,0.5
94588,"945",6.15,65.8,162286,1358538.25,11.1,36.6,44.6,2.2
95130,"951",6.12,60.6,158656,1713333.59,13.2,39.5,39.4,2.9
94542,"945",6.11,49.9,121563,1156068.89,26.5,31.3,24,8.7
92661,"926",6.09,54.5,169911,3773352.04,12.2,64.6,3.7,1.5
94111,"941",6.09,66.5,135735,1062201.45,3.6,44.4,43.6,3.4
92614,"926",6.06,65.7,104971,983142.64,11.1,44.5,31.4,2.3
92808,"928",6.02,57.2,137009,1043905.42,14.5,51.2,23.7,2.3
94536,"945",5.95,54.1,139636,1268749.53,16.5,26.1,48.8,3.8
91356,"913",5.94,51.9,90886,1234123.77,15.1,66.7,5.6,5.8
94530,"945",5.94,65.1,115789,1128164.79,12.8,46.9,28,4.3
90277,"902",5.93,67.5,111859,1513249.09,14.8,62.7,12.7,2.9
92662,"926",5.92,64.6,143781,3644051.42,2.3,95.8,2,0
91316,"913",5.91,51.7,79858,869986.32,15.4,69.6,6.9,2.3
95008,"950",5.89,57,128476,1587454.42,18.7,48,25,2.4
94602,"946",5.89,56,115087,1068643.38,16.6,41.2,18.3,14.9
95037,"950",5.87,44.3,139716,1269179.02,34.8,44.7,14.9,1.2
91765,"917",5.83,54.8,99705,887000.68,17.5,14.9,59.5,4.5
