"ZIP5","Electric","Total_Cars","Median_Household_Income","White_perc","BachOrHigher_perc","Zillow_Home_Value_Index","Total_Population","ZIP3","ev_perc","non_white","car_density","maj_white"
94027,723,6261,250001,68,84.7,7397088.91,7213,"940",11.5476760900815,32,868.016082074033,1
94022,1880,16972,250001,53.7,87.6,4383734.1,20069,"940",11.0770681121848,46.3,845.682395734715,1
94301,1229,11549,184932,59.6,82,3763337.05,17243,"943",10.6416139925535,40.4,669.779040770168,1
94028,645,6133,250001,79.5,85.2,3708911.26,6582,"940",10.5168759171694,20.5,931.783652385293,1
94024,1981,19089,250001,55.6,85.1,3879869.05,24203,"940",10.3777044371104,44.4,788.703879684337,1
90402,756,8178,139667,73.9,78.6,4112663.88,12046,"904",9.24431401320616,26.1,678.897559355803,1
92657,933,9183,181176,67,78.3,3949922.71,9342,"926",10.1600784057498,33,982.980089916506,1
90077,664,6985,200625,77,77.8,2893567.91,7729,"900",9.50608446671439,23,903.739164186829,1
90272,1533,17368,212115,82.1,78.9,3376952.31,21282,"902",8.82657761400276,17.9,816.08871346678,1
95070,2589,27469,222235,39.3,80.1,3442554.51,32189,"950",9.42517019185263,60.7,853.366056727453,0
90094,588,6262,166667,59.4,83.9,1268247.27,11426,"900",9.38997125519004,40.6,548.048310869946,1
95030,1035,11639,215461,75.7,79.6,3234472.56,13528,"950",8.89251653922158,24.3,860.363690124187,1
94708,572,8276,201099,75.8,86.6,1552077.6,11937,"947",6.9115514741421,24.2,693.306525927788,1
94539,3476,40710,200046,13.9,74.3,1902980.06,53762,"945",8.53844264308524,86.1,757.22629366467,0
90067,319,3816,109704,71.4,65,1348859.66,2483,"900",8.35953878406709,28.6,1536.850583971,1
91436,1088,13123,157898,80.1,69.6,2172898.21,16970,"914",8.29078716756839,19.9,773.305833824396,1
94582,2784,32072,186367,27,75.9,1677478.95,47319,"945",8.68046894487403,73,677.782708848454,0
94707,702,9519,182603,72.4,85.1,1627385.14,12313,"947",7.37472423573905,27.6,773.08535693982,1
92618,3516,43334,117833,35.1,69.3,1262961.11,54368,"926",8.1137213273642,64.9,797.049735138317,0
94306,1530,18957,185588,48.6,81.4,2946768.36,28394,"943",8.07089729387561,51.4,667.641050926252,0
90049,1952,25231,143000,78.1,80.8,2716187.61,35853,"900",7.73651460504934,21.9,703.734694446769,1
90210,1426,16728,154740,81.3,64.8,5160554.57,19627,"902",8.5246293639407,18.7,852.295307484588,1
95120,2263,31464,221632,46,73.5,2007526.51,38358,"951",7.19234680905161,54,820.272172688878,0
90266,1980,27001,169586,71.3,77.9,2857420.44,35585,"902",7.33306173845413,28.7,758.774764648026,1
94563,1230,16521,250001,70.4,87,1961092.78,19454,"945",7.44506991102234,29.6,849.23409067544,1
92617,270,4733,57372,32.1,83.4,773693.86,17960,"926",5.70462708641454,67.9,263.530066815145,0
95138,1158,14953,172434,20.3,53.4,1646818.83,19827,"951",7.74426536480974,79.7,754.17360165431,0
94957,152,1908,250001,86.2,83.2,3802986.55,1949,"949",7.9664570230608,13.8,978.963571062083,1
92603,1115,14982,175012,47.5,76.8,1731696.47,19128,"926",7.44226405019357,52.5,783.249686323714,0
94158,268,3317,161391,32.4,68.6,1265065.01,10658,"941",8.07958999095568,67.6,311.221617564271,0
94618,752,11175,172454,66.6,84.1,1657147.26,17324,"946",6.72930648769575,33.4,645.058877857308,1
95014,3199,42051,198602,22.7,81,2558524.15,62185,"950",7.6074290742194,77.3,676.224169815872,0
95135,1144,16261,178977,26.2,65.9,1553671.65,22010,"951",7.03523768525921,73.8,738.800545206724,0
95032,1566,21953,163082,66.4,72.4,2323508.46,27149,"950",7.1334214002642,33.6,808.611735238867,1
94043,1738,22442,159898,40.1,69.5,1471024.62,33052,"940",7.74440780679084,59.9,678.990681350599,0
94025,2357,30512,183750,56.2,71.5,2485795.47,41826,"940",7.72482957524908,43.8,729.498398125568,1
94920,779,10331,203717,81.5,79.2,3100980.96,12803,"949",7.54041235117607,18.5,806.920253065688,1
94611,1841,27902,147080,61.9,75.4,1485463.06,40292,"946",6.59809332664325,38.1,692.494788047255,1
94705,604,9141,143533,74.3,78.9,1948639.36,14150,"947",6.60759216715895,25.7,646.007067137809,1
91108,722,10259,170223,24.2,80.6,2301228.27,12755,"911",7.03772297494883,75.8,804.312034496276,0
94065,674,9221,181975,40.4,80.1,1649190.6,11772,"940",7.30940245092723,59.6,783.299354400272,0
92067,797,10603,216781,72.6,71.6,3986838.09,9060,"920",7.51674054512874,27.4,1170.30905077263,1
92602,1457,20835,123455,30.9,65.7,1527208.32,27425,"926",6.99304055675546,69.1,759.708295350957,0
94304,141,2229,152772,61.4,81.1,2977539.91,4295,"943",6.3257065948856,38.6,518.975552968568,1
95391,1104,15135,154155,28.8,45.3,944074.28,23235,"953",7.29435084241824,71.2,651.387992253066,0
92694,1669,24952,165290,67,65.5,1127442.37,34879,"926",6.68884257774928,33,715.38748243929,1
92625,740,10663,167925,80.3,71.7,3360027.43,13102,"926",6.93988558567007,19.7,813.845214471073,1
92823,282,4418,143971,31,60.9,1099247.26,5626,"928",6.38297872340426,69,785.282616423747,0
94114,1065,16740,169459,66.8,79.2,1672050.31,34474,"941",6.36200716845878,33.2,485.583338167895,1
94568,3225,46471,171168,28.8,67.6,1230336.89,69818,"945",6.93981192571711,71.2,665.601993755192,0
94062,1575,23105,203000,71.6,66.2,2409848.54,26847,"940",6.81670634061891,28.4,860.617573658137,1
92091,124,1721,151458,64.5,69.5,2984880.78,1331,"920",7.20511330621732,35.5,1293.01277235162,1
92130,3068,44698,166789,51.6,79.4,1777635.25,57197,"921",6.8638417826301,48.4,781.474552861164,1
92620,2546,41516,131521,30.2,69.2,1334307.58,60344,"926",6.13257539261971,69.8,687.988863847276,0
90290,283,5235,135262,78.4,67.3,1491091.05,5114,"902",5.40592168099331,21.6,1023.66053969495,1
90274,1382,22694,186144,62.2,76.7,2393416,24890,"902",6.08971534326254,37.8,911.771795901969,1
